snapshot_date,total_value_pln,cash_pln,invested_pln,open_positions,exposure_pct
2021-12-22,1190620.87,796994.96,393625.91,11,33.06055856386928
2021-12-23,1190620.87,796994.96,393625.91,11,33.06055856386928
2021-12-24,1190620.87,796994.96,393625.91,11,33.06055856386928
2021-12-27,1194148.0,836385.08,357762.91,10,29.959679202242935
2021-12-28,1196197.39,802517.76,393679.63,11,32.91092534485467
2021-12-29,1196985.58,839082.03,357903.55,10,29.900406151927072
2021-12-30,1196985.58,839082.03,357903.55,10,29.900406151927072
2021-12-31,1197399.45,875359.96,322039.49,9,26.89490879589096
2022-01-03,1197399.45,875359.96,322039.49,9,26.89490879589096
2022-01-04,1199915.87,1021188.91,178726.96,5,14.894957593985318
2022-01-05,1202068.45,914982.84,287085.61,8,23.882634137847976
2022-01-06,1200504.42,948328.45,252175.97,7,21.00583436419168
2022-01-07,1198166.65,801912.38,396254.27,11,33.071715858557745
2022-01-10,1190001.4,901891.94,288109.46,8,24.210850508243105
2022-01-11,1189626.55,651616.71,538009.84,15,45.225103626007666
2022-01-12,1189519.48,580132.05,609387.43,17,51.2297142035875
2022-01-13,1193464.82,584421.43,609043.39,17,51.03153270994615
2022-01-14,1192736.95,654975.26,537761.68,15,45.086360408302944
2022-01-17,1192736.95,654975.26,537761.68,15,45.086360408302944
2022-01-18,1180715.11,535920.93,644794.18,18,54.61047923745128
2022-01-19,1170483.57,704785.22,465698.35,13,39.78683357340932
2022-01-20,1166876.83,845660.19,321216.65,9,27.527896838949147
2022-01-21,1164935.71,951958.31,212977.4,6,18.28233079059788
2022-01-24,1157656.51,981426.59,176229.92,5,15.222988725731781
2022-01-25,1157413.71,807753.66,349660.05,10,30.210463810731948
2022-01-26,1157316.22,844319.45,312996.78,9,27.0450525613475
2022-01-27,1158677.77,880629.08,278048.7,8,23.997068658700513
2022-01-28,1159996.06,951406.77,208589.29,6,17.98189642126888
2022-01-31,1163359.53,954700.07,208659.46,6,17.935939373789285
2022-02-01,1166744.32,958132.08,208612.24,6,17.879859059438143
2022-02-02,1166691.82,923077.24,243614.58,7,20.88079952424797
2022-02-03,1166639.31,888023.96,278615.36,8,23.881876567317107
2022-02-04,1173470.64,964314.66,209155.98,6,17.823707971083113
2022-02-07,1173470.64,964314.66,209155.98,6,17.823707971083113
2022-02-08,1176588.56,1002162.29,174426.28,5,14.824747233646399
2022-02-09,1179187.12,1039483.26,139703.86,4,11.84747167184119
2022-02-10,1179187.12,1039483.26,139703.86,4,11.84747167184119
2022-02-11,1179256.79,1074453.78,104803.01,3,8.887208527330166
2022-02-14,1180827.97,1040069.41,140758.56,4,11.92032739536141
2022-02-15,1177956.07,1037103.27,140852.8,4,11.957389888062632
2022-02-16,1177483.24,1036294.05,141189.19,4,11.990760055319344
2022-02-17,1176354.28,1070165.87,106188.41,3,9.026907268106338
2022-02-18,1176354.28,1070165.87,106188.41,3,9.026907268106338
2022-02-21,1176354.28,1070165.87,106188.41,3,9.026907268106338
2022-02-22,1176354.28,1070165.87,106188.41,3,9.026907268106338
2022-02-23,1176372.06,1070317.86,106054.2,3,9.015362027554445
2022-02-24,1174224.17,1103508.71,70715.47,2,6.022314291145958
2022-02-25,1174118.49,1032949.57,141168.92,4,12.023396377992482
2022-02-28,1174012.82,962396.74,211616.08,6,18.025022929477036
2022-03-01,1184359.62,1043264.16,141095.45,4,11.913226997725571
2022-03-02,1185698.39,973124.88,212573.51,6,17.92812673044112
2022-03-03,1185645.03,937500.54,248144.49,7,20.92907098847283
2022-03-04,1187161.15,974243.38,212917.77,6,17.935035188777867
2022-03-07,1187107.73,938575.16,248532.57,7,20.9359743618214
2022-03-08,1189794.34,1082953.07,106841.27,3,8.979809905634616
2022-03-09,1187325.8,973322.54,214003.26,6,18.02397117960378
2022-03-10,1185268.95,1006878.93,178390.02,5,15.050594213237426
2022-03-11,1185987.73,1079121.02,106866.71,3,9.010777033924288
2022-03-14,1186058.98,1114886.1,71172.88,2,6.000787583093044
2022-03-15,1183788.44,1148173.64,35614.81,1,3.0085451755213963
2022-03-16,1183788.44,1148173.64,35614.81,1,3.0085451755213963
2022-03-17,1187291.16,1187291.16,0.0,0,0.0
2022-03-18,1187291.16,1187291.16,0.0,0,0.0
2022-03-21,1187237.73,1151619.04,35618.7,1,3.0001320796972983
2022-03-22,1187237.73,1151619.04,35618.7,1,3.0001320796972983
2022-03-23,1187184.31,1115948.47,71235.83,2,6.000401908950431
2022-03-24,1187184.31,1115948.47,71235.83,2,6.000401908950431
2022-03-25,1187184.31,1115948.47,71235.83,2,6.000401908950431
2022-03-28,1187184.31,1115948.47,71235.83,2,6.000401908950431
2022-03-29,1187184.31,1115948.47,71235.83,2,6.000401908950431
2022-03-30,1187184.31,1115948.47,71235.83,2,6.000401908950431
2022-03-31,1187184.31,1115948.47,71235.83,2,6.000401908950431
2022-04-01,1187184.31,1115948.47,71235.83,2,6.000401908950431
2022-04-04,1187483.7,1151866.57,35617.14,1,2.9993792756902686
2022-04-05,1187483.7,1151866.57,35617.14,1,2.9993792756902686
2022-04-06,1190108.62,1190108.62,0.0,0,0.0
2022-04-07,1189894.4,1047081.33,142813.07,4,12.00216338525503
2022-04-08,1189840.86,1011330.97,178509.89,5,15.00283743827725
2022-04-11,1189840.86,1011330.97,178509.89,5,15.00283743827725
2022-04-12,1189787.31,975582.17,214205.14,6,18.00364974475984
2022-04-13,1188386.64,1009876.75,178509.89,5,15.021196300220948
2022-04-14,1188386.64,1009876.75,178509.89,5,15.021196300220948
